Regiao;Numero;Ano 
Norte;313272;2013
Nordeste;821458;2013
Sudeste;1147627;2013
Sul;386983;2013
Centro Oeste;234687;2013
Norte;321682;2014
Nordeste;833090;2014
Sudeste;1182949;2014
Sul;396462;2014
Centro Oeste;245076;2014
Norte;320924;2015
Nordeste;846374;2015
Sudeste;1196232;2015
Sul;406529;2015
Centro Oeste;247609;2015
Norte;307526;2016
Nordeste;796119;2016
Sudeste;1127499;2016
Sul;391790;2016
Centro Oeste;234866;2016
Norte;312682;2017
Nordeste;817311;2017
Sudeste;1151832;2017
Sul;397604;2017
Centro Oeste;244106;2017
Norte;319228;2018
Nordeste;836850;2018
Sudeste;1147006;2018
Sul;395857;2018
Centro Oeste;245991;2018
Norte;313696;2019
Nordeste;805275;2019
Sudeste;1102997;2019
Sul;386097;2019
Centro Oeste;241081;2019
Norte;301635;2020
Nordeste;770688;2020
Sudeste;1052399;2020
Sul;374949;2020
Centro Oeste;230474;2020
Norte;309362;2021
Nordeste;766074;2021
Sudeste;1009734;2021
Sul;362921;2021
Centro Oeste;229010;2021
